state,district_as_per_source,district_as_per_lgd,district_lgd_code,notes
Maharashtra,Chandrapur,Chandrapur,473,
Maharashtra,Dhule,Dhule,474,
Maharashtra,Gadchiroli,Gadchiroli,475,
Maharashtra,Gondia,Gondia,476,
Maharashtra,Gondiya,Gondia,476,
Maharashtra,Hingoli,Hingoli,477,
Maharashtra,Jalgaon,Jalgaon,478,
Maharashtra,Jalna,Jalna,479,
Maharashtra,Kolhapur,Kolhapur,480,
Maharashtra,Latur,Latur,481,
Maharashtra,Mumbai,Mumbai,482,
Maharashtra,Mumbai Suburban,Mumbai Suburban,483,
Maharashtra,Nagpur,Nagpur,484,
Maharashtra,Nanded,Nanded,485,
Maharashtra,Nandurbar,Nandurbar,486,
Maharashtra,Nashik,Nashik,487,
Maharashtra,Nasik,Nashik,487,
Maharashtra,Dharashiv,Dharashiv,488,
Maharashtra,Osmanabad,Dharashiv,488,
Maharashtra,Parbhani,Parbhani,489,
Maharashtra,Pune,Pune,490,
Maharashtra,Raigad,Raigad,491,
Maharashtra,Ratnagiri,Ratnagiri,492,
Maharashtra,Sangli,Sangli,493,
Maharashtra,Satara,Satara,494,
Maharashtra,Sindhudurg,Sindhudurg,495,
Maharashtra,Sholapur,Solapur,496,
Maharashtra,Solapur,Solapur,496,
Maharashtra,Thane,Thane,497,
Maharashtra,Wardha,Wardha,498,
Maharashtra,Washim,Washim,499,
Maharashtra,Yavatmal,Yavatmal,500,
Maharashtra,Yeotmal,Yavatmal,500,
Maharashtra,Palghar,Palghar,665,
Maharashtra,Brihan Mumbai,Brihan Mumbai,,
Manipur,Bishanpur,Bishnupur,252,
Manipur,Bishenpur,Bishnupur,252,
Manipur,Bishnupur,Bishnupur,252,
Manipur,Chandel,Chandel,253,
Manipur,Churachandpur,Churachandpur,254,
Manipur,Imphal East,Imphal East,255,
Manipur,Imphal West,Imphal West,256,
Manipur,Senapati,Senapati,257,
Manipur,Tamenglong,Tamenglong,258,
Manipur,Thoubal,Thoubal,259,
Manipur,Ukhrul,Ukhrul,260,
Manipur,Kakching,Kakching,711,
Manipur,Kangpokpi,Kangpokpi,712,
Manipur,Jiribam,Jiribam,713,
Manipur,Noney,Noney,714,
Manipur,Pherzawal,Pherzawl,715,
Manipur,Pherzawl,Pherzawl,715,
Manipur,Tengnoupal,Tengnoupal,716,
Manipur,Kamjong,Kamjong,717,
Meghalaya,East Garo Hills,East Garo Hills,273,
Meghalaya,East Khasi Hills,East Khasi Hills,274,
Meghalaya,West Jaintia Hills,West Jaintia Hills,275,
Meghalaya,Ri Bhoi,Ri Bhoi,276,
Meghalaya,South Garo Hills,South Garo Hills,277,
Meghalaya,West Garo Hills,West Garo Hills,278,
Meghalaya,West Khasi Hills,West Khasi Hills,279,
Meghalaya,North Garo Hills,North Garo Hills,656,
Meghalaya,East Jaintia Hills,East Jaintia Hills,657,
Meghalaya,Jaintia Hills,East Jaintia Hills,657,
Meghalaya,South West Khasi Hills,South West Khasi Hills,658,
Meghalaya,South West Garo Hills,South West Garo Hills,663,
Meghalaya,Eastern West Khasi Hills,Eastern West Khasi Hills,740,
Mizoram,Aizawl,Aizawl,261,
Mizoram,Champhai,Champhai,262,
Mizoram,Kolasib,Kolasib,263,
Mizoram,Lawngtlai,Lawngtlai,264,
Mizoram,Lunglei,Lunglei,265,
Mizoram,Mamit,Mamit,266,
Mizoram,Saiha,Siaha,267,
Mizoram,Siaha,Siaha,267,
Mizoram,Serchhip,Serchhip,268,
Mizoram,Hnahthial,Hnahthial,726,
Mizoram,Saitual,Saitual,727,
Mizoram,Khawzawl,Khawzawl,728,
Mizoram,Aizawl East,Aizawl East,,
Mizoram,Aizawl West,Aizawl West,,
Nagaland,Dimapur,Dimapur,244,
Nagaland,Kohima,Kohima,245,
Nagaland,Mokokchung,Mokokchung,246,
Nagaland,Mon,Mon,247,
Nagaland,Phek,Phek,248,
Nagaland,Tuensang,Tuensang,249,
Nagaland,Wokha,Wokha,250,
Nagaland,Zunheboto,Zunheboto,251,
Nagaland,Peren,Peren,613,
Nagaland,Kiphire,Kiphire,614,
Nagaland,Longleng,Longleng,615,
Nagaland,Noklak,Noklak,736,
Nagaland,Tseminyu,Tseminyu,757,
Nagaland,Chumoukedima,Chumoukedima,758,
Nagaland,Niuland,Niuland,764,
Nagaland,Shamator,Shamator,765,
Nagaland,Meluri,Meluri,788,
Odisha,Angul,Anugul,344,
Odisha,Anugul,Anugul,344,
Odisha,Balangir,Balangir,345,
Odisha,Bolangir,Balangir,345,
Odisha,Balasore,Balasore,346,
Odisha,Baleshwar,Balasore,346,
Odisha,Bargarh,Bargarh,347,
Odisha,Bhadrak,Bhadrak,348,
Odisha,Baudh,Boudh,349,
Odisha,Boudh,Boudh,349,
Odisha,Cuttack,Cuttack,350,
Odisha,Deogarh,Deogarh,351,
Odisha,Dhenkanal,Dhenkanal,352,
Odisha,Gajapati,Gajapati,353,
Odisha,Ganjam,Ganjam,354,
Odisha,Jagatsinghapur,Jagatsinghapur,355,
Odisha,Jagatsinghpur,Jagatsinghapur,355,
Odisha,Jajapur,Jajapur,356,
Odisha,Jajpur,Jajapur,356,
Odisha,Jharsuguda,Jharsuguda,357,
Odisha,Kalahandi,Kalahandi,358,
Odisha,Kandhamal,Kandhamal,359,
Odisha,Kendrapara,Kendrapara,360,
Odisha,Kendujhar,Kendujhar,361,
Odisha,Keonjhar,Kendujhar,361,
Odisha,Khordha,Khordha,362,
Odisha,Khurda,Khordha,362,
Odisha,Koraput,Koraput,363,
Odisha,Malkangiri,Malkangiri,364,
Odisha,Mayurbhanj,Mayurbhanj,365,
Odisha,Nabarangpur,Nabarangpur,366,
Odisha,Nawrangpur,Nabarangpur,366,
Odisha,Nayagarh,Nayagarh,367,
Odisha,Nawapara,Nuapada,368,
Odisha,Nuapada,Nuapada,368,
Odisha,Puri,Puri,369,
Odisha,Rayagada,Rayagada,370,
Odisha,Sambalpur,Sambalpur,371,
Odisha,Sonepur,Sonepur,372,
Odisha,Sonapur(Subarnapur),Sonepur,372,
Odisha,Sundargarh,Sundargarh,373,
Odisha,Subarnapur,Subarnapur,,
Others,Others,Others,0,
Others,Other,Others,0,
Puducherry,Karaikal,Karaikal,598,
Puducherry,Pondicherry,Puducherry,600,
Puducherry,Puducherry,Puducherry,600,
Puducherry,Mahe,Mahe,,
Puducherry,Yanam,Yanam,,
Punjab,Amritsar,Amritsar,27,
Punjab,Bathinda,Bathinda,28,
Punjab,Bhatinda,Bathinda,28,
Punjab,Faridkot,Faridkot,29,
Punjab,Fatehgarh Sahib,Fatehgarh Sahib,30,
Punjab,Ferozepur,Ferozepur,31,
Punjab,Ferozpur,Ferozepur,31,
Punjab,Gurdaspur,Gurdaspur,32,
Punjab,Hoshiarpur,Hoshiarpur,33,
Punjab,Jalandhar,Jalandhar,34,
Punjab,Kapurthala,Kapurthala,35,
Punjab,Ludhiana,Ludhiana,36,
Punjab,Mansa,Mansa,37,
Punjab,Moga,Moga,38,
Punjab,Muktsar,Sri Muktsar Sahib,39,
Punjab,Sri Muktsar Sahib,Sri Muktsar Sahib,39,
Punjab,Nawanshahr,Shahid Bhagat Singh Nagar,40,
Punjab,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,40,
Punjab,Patiala,Patiala,41,
Punjab,Rupnagar,Rupnagar,42,
Punjab,Sangrur,Sangrur,43,
Punjab,Barnala,Barnala,605,
Punjab,Mohali SAS Nagar,S.A.S Nagar,608,
Punjab,S.A.S Nagar,S.A.S Nagar,608,
Punjab,Sahibzada Ajit Singh Naga,S.A.S Nagar,608,
Punjab,Sahibzada Ajit Singh Nagar,S.A.S Nagar,608,
Punjab,Taran Taran,Tarn Taran,609,
Punjab,Tarn Taran,Tarn Taran,609,
Punjab,Fazilka,Fazilka,651,
Punjab,Pathankot,Pathankot,662,
Punjab,Malerkotla,Malerkotla,737,
Rajasthan,Ajmer,Ajmer,86,
Rajasthan,Alwar,Alwar,87,
Rajasthan,Banswara,Banswara,88,
Rajasthan,Baran,Baran,89,
Rajasthan,Barmer,Barmer,90,
Rajasthan,Bharatpur,Bharatpur,91,
Rajasthan,Bhilwara,Bhilwara,92,
Rajasthan,Bikaner,Bikaner,93,
Rajasthan,Bundi,Bundi,94,
Rajasthan,Chittaurgarh,Chittorgarh,95,
Rajasthan,Chittorgarh,Chittorgarh,95,
Rajasthan,Churu,Churu,96,
Rajasthan,Dausa,Dausa,97,
Rajasthan,Dhaulpur,Dholpur,98,
Rajasthan,Dholpur,Dholpur,98,
Rajasthan,Dungarpur,Dungarpur,99,
Rajasthan,Ganganagar,Ganganagar,100,
Rajasthan,Hanumangarh,Hanumangarh,101,
Rajasthan,Jaipur,Jaipur,102,
Rajasthan,Jaipur Rural,Jaipur,102,
Rajasthan,Jaisalmer,Jaisalmer,103,
Rajasthan,Jalor,Jalore,104,
Rajasthan,Jalore,Jalore,104,
Rajasthan,Jhalawar,Jhalawar,105,
Rajasthan,Jhunjhunu,Jhunjhunu,106,
Rajasthan,Jhunjhunun,Jhunjhunu,106,
Rajasthan,Jodhpur,Jodhpur,107,
Rajasthan,Jodhpur Rural,Jodhpur,107,
Rajasthan,Karauli,Karauli,108,
Rajasthan,Kota,Kota,109,
Rajasthan,Nagaur,Nagaur,110,
Rajasthan,Pali,Pali,111,
Rajasthan,Rajasamand,Rajsamand,112,
Rajasthan,Rajsamand,Rajsamand,112,
Rajasthan,Sawai Madhopur,Sawai Madhopur,113,
Rajasthan,Sikar,Sikar,114,
Rajasthan,Sirohi,Sirohi,115,
Rajasthan,Tonk,Tonk,116,
Rajasthan,Udaipur,Udaipur,117,
Rajasthan,Pratapgarh,Pratapgarh,629,
Rajasthan,Deeg,Deeg,767,
Rajasthan,Didwana-Kuchaman,Didwana-Kuchaman,768,
Rajasthan,Khairthal-Tijara,Khairthal-Tijara,770,
Rajasthan,Phalodi,Phalodi,772,
Rajasthan,Beawar,Beawar,774,
Rajasthan,Balotra,Balotra,775,
Rajasthan,Salumbar,Salumbar,777,
Rajasthan,Salumber,Salumbar,777,
Rajasthan,Kotputli-Behror,Kotputli-Behror,782,
Rajasthan,Anupgarh,Anupgarh,,
Rajasthan,Dudu,Dudu,,Dudu became a district in 2023 and abolished in 2024
Rajasthan,Gangapurcity,Gangapurcity,,
Rajasthan,Kekri,Kekri,,
Rajasthan,Neem Ka Thana,Neem Ka Thana,,
Rajasthan,Sanchore,Sanchore,,
Rajasthan,Shahpura,Shahpura,,formed in March 2023
Sikkim,East,Gangtok,225,
Sikkim,East District,Gangtok,225,
Sikkim,East Sikkim,Gangtok,225,
Sikkim,Gangtok,Gangtok,225,
Sikkim,Mangan,Mangan,226,
Sikkim,North,Mangan,226,
Sikkim,North District,Mangan,226,
Sikkim,North Sikkim,Mangan,226,
Sikkim,Namchi,Namchi,227,
Sikkim,South,Namchi,227,
Sikkim,South District,Namchi,227,
Sikkim,South Sikkim,Namchi,227,
Sikkim,Gyalshing,Gyalshing,228,
Sikkim,West,Gyalshing,228,
Sikkim,West District,Gyalshing,228,
Sikkim,West Sikkim,Gyalshing,228,
Sikkim,Pakyong,Pakyong,741,
Sikkim,Soreng,Soreng,742,
Tamil Nadu,Chennai,Chennai,568,
Tamil Nadu,Coimbatore,Coimbatore,569,
Tamil Nadu,Cuddalore,Cuddalore,570,
Tamil Nadu,Dharmapuri,Dharmapuri,571,
Tamil Nadu,Dindigul,Dindigul,572,
Tamil Nadu,Erode,Erode,573,
Tamil Nadu,Kancheepuram,Kancheepuram,574,
Tamil Nadu,Kanchipuram,Kancheepuram,574,
Tamil Nadu,Kanniyakumari,Kanniyakumari,575,
Tamil Nadu,Kanyakumari,Kanniyakumari,575,
Tamil Nadu,Karur,Karur,576,
Tamil Nadu,Krishnagiri,Krishnagiri,577,
Tamil Nadu,Madurai,Madurai,578,
Tamil Nadu,Nagapattinam,Nagapattinam,579,
Tamil Nadu,Namakkal,Namakkal,580,
Tamil Nadu,Perambalur,Perambalur,581,
Tamil Nadu,Pudukkottai,Pudukkottai,582,
Tamil Nadu,Ramanathapuram,Ramanathapuram,583,
Tamil Nadu,Salem,Salem,584,
Tamil Nadu,Sivaganga,Sivaganga,585,
Tamil Nadu,Sivagangai(Pasumpon),Sivaganga,585,
Tamil Nadu,Thanjavur,Thanjavur,586,
Tamil Nadu,Nilgiri,The Nilgiris,587,
Tamil Nadu,Nilgiris,The Nilgiris,587,
Tamil Nadu,The Nilgiris,The Nilgiris,587,
Tamil Nadu,Theni,Theni,588,
Tamil Nadu,Thiruvallur,Thiruvallur,589,
Tamil Nadu,Tiruvallur,Thiruvallur,589,
Tamil Nadu,Thiruvarur,Thiruvarur,590,
Tamil Nadu,Tiruchirapalli,Tiruchirappalli,591,
Tamil Nadu,Tiruchirappalli,Tiruchirappalli,591,
Tamil Nadu,Thirunelveli,Tirunelveli,592,
Tamil Nadu,Tirunelvali,Tirunelveli,592,
Tamil Nadu,Tirunelveli,Tirunelveli,592,
Tamil Nadu,Tiruvannamalai,Tiruvannamalai,593,
Tamil Nadu,Thoothukkudi,Thoothukkudi,594,
Tamil Nadu,Thoothukudi,Thoothukkudi,594,
Tamil Nadu,Toothukudi,Thoothukkudi,594,
Tamil Nadu,Vellore,Vellore,595,
Tamil Nadu,Villupuram,Viluppuram,596,
Tamil Nadu,Viluppuram,Viluppuram,596,
Tamil Nadu,Virudhunagar,Virudhunagar,597,
Tamil Nadu,Ariyalur,Ariyalur,610,
Tamil Nadu,Tiruppur,Tiruppur,634,
Tamil Nadu,Kallakurichi,Kallakurichi,729,
Tamil Nadu,Chengalpattu,Chengalpattu,730,
Tamil Nadu,Ranipet,Ranipet,731,
Tamil Nadu,Tirupathur,Tirupathur,732,
Tamil Nadu,Tenkasi,Tenkasi,733,
Tamil Nadu,Mayiladuthurai,Mayiladuthurai,735,
Telangana,Adilabad,Adilabad,501,
Telangana,Hyderabad,Hyderabad,507,
Telangana,Karimnagar,Karimnagar,508,
Telangana,Khammam,Khammam,509,
Telangana,Mahabubnagar,Mahabubnagar,512,
Telangana,Mahbubnagar,Mahabubnagar,512,
Telangana,Medak,Medak,513,
Telangana,Nalgonda,Nalgonda,514,
Telangana,Nizamabad,Nizamabad,516,
Telangana,Ranga Reddy,Ranga Reddy,518,
Telangana,Rangareddi,Ranga Reddy,518,
Telangana,Rangareddy,Ranga Reddy,518,
Telangana,Warangal,Warangal,522,
Telangana,Warangal Rural,Warangal,522,
Telangana,Nirmal,Nirmal,680,
Telangana,Jagitial,Jagitial,681,
Telangana,Peddapalli,Peddapalli,682,
Telangana,Rajanna Sircilla,Rajanna Sircilla,683,
Telangana,Rajanna(sircilla),Rajanna Sircilla,683,
Telangana,Mancherial,Mancherial,684,
Telangana,Kamareddy,Kamareddy,685,
Telangana,Hanumakonda,Hanumakonda,686,
Telangana,Warangal Urban,Hanumakonda,686,
Telangana,Warangal- Urban,Hanumakonda,686,
Telangana,Jayashankar (bhupalpalli),Jayashankar Bhupalapally,687,
Telangana,Jayashankar Bhupalapally,Jayashankar Bhupalapally,687,
Telangana,Mahabubabad,Mahabubabad,688,
Telangana,Jangaon,Jangoan,689,
Telangana,Jangoan,Jangoan,689,
Telangana,Bhadradri (kothagudem),Bhadradri Kothagudem,690,
Telangana,Bhadradri Kothagudem,Bhadradri Kothagudem,690,
Telangana,Sangareddy,Sangareddy,691,
Telangana,Siddipet,Siddipet,692,
Telangana,Wanaparthy,Wanaparthy,693,
Telangana,Nagarkurnool,Nagarkurnool,694,
Telangana,Jagulamba Gadwal,Jogulamba Gadwal,695,
Telangana,Jogulamba (gadwal),Jogulamba Gadwal,695,
Telangana,Jogulamba Gadwal,Jogulamba Gadwal,695,
Telangana,Suryapet,Suryapet,696,
Telangana,Yadadri,Yadadri Bhuvanagiri,697,
Telangana,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,697,
Telangana,Vikarabad,Vikarabad,698,
Telangana,Komram Bheem (asifabad),Kumuram Bheem Asifabad,699,
Telangana,Kumuram Bheem Asifabad,Kumuram Bheem Asifabad,699,
Telangana,Medchal Malkajgiri,Medchal Malkajgiri,700,
Telangana,Medchal-Malkajgiri,Medchal Malkajgiri,700,
Telangana,Mulugu,Mulugu,720,
Telangana,Narayanpet,Narayanpet,721,
Tripura,Dhalai,Dhalai,269,
Tripura,North Tripura,North Tripura,270,
Tripura,S. Tripura,South Tripura,271,
Tripura,S.Tripura,South Tripura,271,
Tripura,South Tripura,South Tripura,271,
Tripura,West Tripura,West Tripura,272,
Tripura,Khowai,Khowai,652,
Tripura,Sepahijala,Sepahijala,653,
Tripura,Shipahijala,Sepahijala,653,
Tripura,Gomati,Gomati,654,
Tripura,Unakoti,Unakoti,655,
Uttar Pradesh,Hamirpur,Hamirpur,17,
Uttar Pradesh,Agra,Agra,118,
Uttar Pradesh,Aligarh,Aligarh,119,
Uttar Pradesh,Allahabad,Prayagraj,120,
Uttar Pradesh,Prayagraj,Prayagraj,120,
Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,121,
Uttar Pradesh,Auraiya,Auraiya,122,
Uttar Pradesh,Azamgarh,Azamgarh,123,
Uttar Pradesh,Baghpat,Baghpat,124,
Uttar Pradesh,Bahraich,Bahraich,125,
Uttar Pradesh,Ballia,Ballia,126,
Uttar Pradesh,Balrampur,Balrampur,127,
Uttar Pradesh,Banda,Banda,128,
Uttar Pradesh,Bara Banki,Bara Banki,129,
Uttar Pradesh,Barabanki,Bara Banki,129,
Uttar Pradesh,Bareilly,Bareilly,130,
Uttar Pradesh,Basti,Basti,131,
Uttar Pradesh,Bijnor,Bijnor,132,
Uttar Pradesh,Budaun,Budaun,133,
Uttar Pradesh,Bulandshahr,Bulandshahr,134,
Uttar Pradesh,Chandauli,Chandauli,135,
Uttar Pradesh,Chitrakoot,Chitrakoot,136,
Uttar Pradesh,Chitrakut,Chitrakoot,136,
Uttar Pradesh,Deoria,Deoria,137,
Uttar Pradesh,Etah,Etah,138,
Uttar Pradesh,Etawah,Etawah,139,
Uttar Pradesh,Ayodhya,Ayodhya,140,
Uttar Pradesh,Faizabad,Ayodhya,140,
Uttar Pradesh,Farrukhabad,Farrukhabad,141,
Uttar Pradesh,Fatehpur,Fatehpur,142,
Uttar Pradesh,Firozabad,Firozabad,143,
Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,144,
Uttar Pradesh,Ghaziabad,Ghaziabad,145,
Uttar Pradesh,Ghazipur,Ghazipur,146,
Uttar Pradesh,Gonda,Gonda,147,
Uttar Pradesh,Gorakhpur,Gorakhpur,148,
Uttar Pradesh,Hardoi,Hardoi,150,
Uttar Pradesh,Jalaun,Jalaun,151,
Uttar Pradesh,Jaunpur,Jaunpur,152,
Uttar Pradesh,Jhansi,Jhansi,153,
Uttar Pradesh,Amroha,Amroha,154,
Uttar Pradesh,Jyotiba Phule Nagar,Amroha,154,
Uttar Pradesh,Jyotibha Phule Nagar,Amroha,154,
Uttar Pradesh,Kanauj,Kannauj,155,
Uttar Pradesh,Kannauj,Kannauj,155,
Uttar Pradesh,Kanpur Dehat,Kanpur Dehat,156,
Uttar Pradesh,Kanpur Nagar,Kanpur Nagar,157,
Uttar Pradesh,Kaushambi,Kaushambi,158,
Uttar Pradesh,Kheri,Kheri,159,
Uttar Pradesh,Lakhimpur Kheri,Kheri,159,
Uttar Pradesh,Kushi Nagar,Kushinagar,160,
Uttar Pradesh,Kushinagar,Kushinagar,160,
Uttar Pradesh,Lalitpur,Lalitpur,161,
Uttar Pradesh,Lucknow,Lucknow,162,
Uttar Pradesh,Hathras,Hathras,163,
Uttar Pradesh,Mahamaya Nagar,Hathras,163,
Uttar Pradesh,Maharajganj,Mahrajganj,164,
Uttar Pradesh,Maharjganj,Mahrajganj,164,
Uttar Pradesh,Mahrajganj,Mahrajganj,164,
Uttar Pradesh,Mahoba,Mahoba,165,
Uttar Pradesh,Mainpuri,Mainpuri,166,
Uttar Pradesh,Mathura,Mathura,167,
Uttar Pradesh,Mau,Mau,168,
Uttar Pradesh,Meerut,Meerut,169,
Uttar Pradesh,Mirzapur,Mirzapur,170,
Uttar Pradesh,Moradabad,Moradabad,171,
Uttar Pradesh,Muzaffar Nagar,Muzaffarnagar,172,
Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,172,
Uttar Pradesh,Pilibhit,Pilibhit,173,
Uttar Pradesh,Pratapgarh,Pratapgarh,174,
Uttar Pradesh,Rae Bareli,Rae Bareli,175,
Uttar Pradesh,Rai Bareli,Rae Bareli,175,
Uttar Pradesh,Rampur,Rampur,176,
Uttar Pradesh,Saharanpur,Saharanpur,177,
Uttar Pradesh,Sant Kabir Nagar,Sant Kabir Nagar,178,
Uttar Pradesh,Bhadohi,Bhadohi,179,
Uttar Pradesh,Sant Ravidas Nagar,Bhadohi,179,
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),Bhadohi,179,
Uttar Pradesh,Santravidas Nagar,Bhadohi,179,
Uttar Pradesh,Shahjahanpur,Shahjahanpur,180,
Uttar Pradesh,Shravasti,Shrawasti,181,
Uttar Pradesh,Shrawasti,Shrawasti,181,
Uttar Pradesh,Sravasti,Shrawasti,181,
Uttar Pradesh,Siddharth Nagar,Siddharthnagar,182,
Uttar Pradesh,Siddharthnagar,Siddharthnagar,182,
Uttar Pradesh,Sidharthanagar,Siddharthnagar,182,
Uttar Pradesh,Sitapur,Sitapur,183,
Uttar Pradesh,Sonbhadra,Sonbhadra,184,
Uttar Pradesh,Sultanpur,Sultanpur,185,
Uttar Pradesh,Unnao,Unnao,186,
Uttar Pradesh,Varanasi,Varanasi,187,
Uttar Pradesh,Bhagalpur,Bhagalpur,192,
Uttar Pradesh,Kanshiram Nagar,Kasganj,633,
Uttar Pradesh,Kasganj,Kasganj,633,
Uttar Pradesh,Kashi Ram Nagar,Kasganj,633,
Uttar Pradesh,Amethi,Amethi,640,
Uttar Pradesh,Bhim Nagar,Sambhal,659,
Uttar Pradesh,Sambhal,Sambhal,659,
Uttar Pradesh,Prabudh Nagar,Shamli,660,
Uttar Pradesh,Shamli,Shamli,660,
Uttar Pradesh,Hapur,Hapur,661,
Uttar Pradesh,Panchsheel Nagar,Hapur,661,
Uttar Pradesh,C S M Nagar,Chhatrapati Sahuji Maharaj (CSM) Nagar,,
Uttar Pradesh,Hathinia Hill,Hathinia Hill,,
Uttar Pradesh,Maunathbhanjan,Maunathbhanjan,,
Uttarakhand,Almora,Almora,45,
Uttarakhand,Bageshwar,Bageshwar,46,
Uttarakhand,Chamoli,Chamoli,47,
Uttarakhand,Champawat,Champawat,48,
Uttarakhand,Dehra Dun,Dehradun,49,
Uttarakhand,Dehradun,Dehradun,49,
Uttarakhand,Haridwar,Haridwar,50,
Uttarakhand,Nainital,Nainital,51,
Uttarakhand,Garhwal,Pauri Garhwal,52,
Uttarakhand,Pauri Garhwal,Pauri Garhwal,52,
Uttarakhand,Pithoragarh,Pithoragarh,53,
Uttarakhand,Rudra Prayag,Rudra Prayag,54,
Uttarakhand,Rudraprayag,Rudra Prayag,54,
Uttarakhand,Tehri Garhwal,Tehri Garhwal,55,
Uttarakhand,Udam Singh Nagar,Udam Singh Nagar,56,
Uttarakhand,Udamsingh Nagar,Udam Singh Nagar,56,
Uttarakhand,Udham Singh Nagar,Udam Singh Nagar,56,
Uttarakhand,Uttar Kashi,Uttar Kashi,57,
Uttarakhand,Uttarkashi,Uttar Kashi,57,
West Bengal,North 24 Parganas,North 24 Parganas,303,
West Bengal,North Twenty Four Parganas,North 24 Parganas,303,
West Bengal,South 24 Parganas,South 24 Parganas,304,
West Bengal,South Twenty Four Parganas,South 24 Parganas,304,
West Bengal,Bankura,Bankura,305,
West Bengal,Barddhaman,Purba Bardhaman,306,
West Bengal,Purba Bardhaman,Purba Bardhaman,306,
West Bengal,Birbhum,Birbhum,307,
West Bengal,Cooch Behar,Cooch Behar,308,
West Bengal,Koch Bihar,Cooch Behar,308,
West Bengal,Darjeeling,Darjeeling,309,
West Bengal,Darjiling,Darjeeling,309,
West Bengal,Dakshin Dinajpur,Dakshin Dinajpur,310,
West Bengal,Dinajpur (South),Dakshin Dinajpur,310,
West Bengal,Uttar Dinajpur,Uttar Dinajpur,311,
West Bengal,Hooghly,Hooghly,312,
West Bengal,Hugli,Hooghly,312,
West Bengal,Haora,Howrah,313,
West Bengal,Howrah,Howrah,313,
West Bengal,Jalpaiguri,Jalpaiguri,314,
West Bengal,Kolkata,Kolkata,315,
West Bengal,Malda,Malda,316,
West Bengal,Maldah,Malda,316,
West Bengal,Medinipur East,Purba Medinipur,317,
West Bengal,Purba Medinipur,Purba Medinipur,317,
West Bengal,Medinipur West,Paschim Medinipur,318,
West Bengal,Paschim Medinipur,Paschim Medinipur,318,
West Bengal,Murshidabad,Murshidabad,319,
West Bengal,Nadia,Nadia,320,
West Bengal,Purulia,Purulia,321,
West Bengal,Puruliya,Purulia,321,
West Bengal,Alipurduar,Alipurduar,664,
West Bengal,Kalimpong,Kalimpong,702,
West Bengal,Jhargram,Jhargram,703,
West Bengal,Paschim Bardhaman,Paschim Bardhaman,704,
